N,linear_mid,linear_max,hashmap,btree_max
1,0.7938,0.7748,13.8001,2.6848
2,1.0157,1.1448,14.0462,2.8389
4,1.4016,1.8956,13.6209,3.0575
8,1.1760,2.0498,13.3313,4.6201
16,2.0489,3.3139,13.1163,4.4253
24,2.5125,4.6010,13.2096,5.8537
32,3.3507,5.8149,13.3477,6.8541
48,4.5262,8.6202,13.0607,7.0547
64,5.8130,11.3578,13.7657,7.6761
96,8.4707,15.9514,13.4291,8.3189
128,10.6141,20.5937,13.2960,9.1224
256,20.5388,48.4571,13.5189,10.3355
512,49.6667,88.2947,13.8192,10.6622
1024,97.6730,176.4579,13.2289,13.0196
2048,178.0977,329.8022,13.6657,34.3155
4096,323.7778,642.2026,12.9965,43.1430
