N,linear_mid,linear_max,hashmap,btree_max,trie
1,2.0600,2.5445,19.1119,5.5610,2.7538
2,3.9676,4.8453,19.7494,8.3779,7.2403
4,5.5852,8.7582,21.0844,11.8839,7.2126
8,9.2413,15.7522,19.3202,15.7012,10.1992
16,16.9535,30.9022,20.4862,17.8128,11.9945
24,23.4359,43.4469,19.5037,19.6228,12.5294
32,31.2764,57.6970,33.0584,22.9283,14.9799
48,44.2246,86.2977,20.1584,24.6711,17.6881
64,59.7404,122.6277,20.1299,26.5776,18.6699
96,91.2689,176.8948,20.1456,27.6473,19.1938
128,131.3027,236.4070,19.2527,35.2757,20.4154
256,296.8540,480.3301,20.4682,37.5190,23.8031
512,476.2607,933.4697,20.5268,55.4172,26.4488
1024,957.1279,1878.9141,22.1206,79.0817,31.3000
2048,1883.5234,3792.0430,21.5350,101.2065,37.5328
4096,3665.6758,7592.1641,22.4721,115.5815,46.4481
