N,linear_mid,linear_max,hashmap,btree_max
1,7.0003,3.8891,51.6684,8.8894
2,4.7225,5.6459,51.6684,11.9449
4,6.9063,7.2237,51.6684,14.4483
8,11.0297,10.7441,52.9648,17.0844
16,18.7878,19.1232,51.6684,33.9276
24,18.7671,26.0351,51.6684,34.8182
32,25.1329,32.9120,51.6689,35.2505
48,35.5574,47.8560,52.2132,44.6494
64,40.5595,62.6287,51.6684,44.3001
96,55.5679,93.1553,52.1900,55.6295
128,69.7393,123.2839,51.8289,64.3998
256,130.8862,256.0125,52.5704,78.1791
512,271.8545,492.7202,51.9645,93.5475
1024,509.5024,969.8325,52.4839,107.1492
2048,989.1836,1927.1328,55.9239,122.9110
4096,2037.3945,4077.2461,60.4846,136.8337
