N,linear_mid,linear_max,hashmap,btree_max,trie
1,9.5138,12.7782,74.1124,28.3347,14.8643
2,25.0012,26.1122,74.4491,39.1686,38.3351
4,35.5574,47.7797,74.1700,51.9476,38.3342
8,45.5576,72.2259,74.1711,71.6009,48.6618
16,78.8934,145.0079,73.8931,85.3168,52.5449
24,121.8790,211.6740,77.3020,96.1234,58.4772
32,155.0085,278.3469,74.1711,113.6686,68.1377
48,221.6747,411.6877,81.5428,125.3806,80.0892
64,288.3474,545.0288,76.0858,132.7037,84.9449
96,421.6797,810.5991,80.9155,155.9806,89.2027
128,556.1421,1080.0752,82.1249,180.9868,92.3381
256,1103.3867,2223.8066,83.9152,201.4517,105.2888
512,2220.6602,4551.3477,88.7551,261.1257,126.2385
1024,5382.8711,10950.9219,92.4092,326.5916,145.1978
2048,11747.2266,23339.3594,96.6320,409.2646,162.7600
4096,25052.0156,49929.2812,103.4713,499.3704,194.6858
